In the name of GOD, Most Gracious, Most Merciful.|[Quran 1:1]
Recall that Moses sought water for his people. We said, "Strike the rock with your staff." Where- upon, twelve springs gushed out therefrom. The members of each tribe knew their own water. Eat and drink from GOD's provisions, and do not roam the earth corruptingly. |[Sura 2:60]
Recall that you said, "O Moses, we can no longer tolerate one kind of food. Call upon your Lord to produce for us such earthly crops as beans, cucumbers, garlic, lentils, and onions." He said, "Do you wish to substitute that which is inferior for that which is good? Go down to Egypt, where you can find what you asked for." They have incurred condemnation, humiliation, and disgrace, and brought upon themselves wrath from GOD. This is because they rejected GOD's revelations, and killed the prophets unjustly. This is because they disobeyed and transgressed.  |[Sura 2:61]
Surely, those who believe, those who are Jewish, the Christians, and the converts; anyone who (1) believes in GOD, and (2) believes in the Last Day, and (3) leads a righteous life, will receive their recompense from their Lord. They have nothing to fear, nor will they grieve. Covenant with Israel |[Sura 2:62]
We made a covenant with you, as we raised Mount Sinai above you: "You shall uphold what we have given you strongly, and remember its contents, that you may be saved." |[Sura 2:63]
But you turned away thereafter, and if it were not for GOD's grace towards you and His mercy, you would have been doomed. |[Sura 2:64]
You have known about those among you who desecrated the Sabbath. We said to them, "Be you as despicable as apes." |[Sura 2:65]
We set them up as an example for their generation, as well as subsequent generations, and an enlightenment for the righteous. |[Sura 2:66]
Moses said to his people, "GOD commands you to sacrifice a heifer." They said, "Are you mocking us?" He said, "GOD forbid, that I should behave like the ignorant ones." |[Sura 2:67]
They said, "Call upon your Lord to show us which one." He said, "He says that she is a heifer that is neither too old, nor too  young; of an intermediate age. Now, carry out what you are commanded to do." |[Sura 2:68]
They said, "Call upon your Lord to show us her color."  He said, "He says that she is a yellow heifer, bright colored, pleases the beholders." |[Sura 2:69]
They said, "Call upon your Lord to show us which one. The heifers look alike to us and, GOD willing, we will be guided." |[Sura 2:70]
He said, "He says that she is a heifer that was never humiliated in plowing the land or watering the crops; free from any blemish." They said, "Now you have brought the truth." They finally sacrificed her,  after this lengthy reluctance. |[Sura 2:71]
You had killed a soul, then disputed among yourselves. GOD was to expose what you tried to conceal. |[Sura 2:72]
We said, "Strike (the victim) with part (of the heifer)." That is when GOD brought the victim back to life, and showed you His signs, that you may understand. |[Sura 2:73]
Despite this, your hearts hardened like rocks, or even harder. For there are rocks from which rivers gush out. Others crack and release gentle streams, and other rocks cringe out of reverence for GOD. GOD is never unaware of anything you do. |[Sura 2:74]
Do you expect them to believe as you do, when some of them used to hear the word of GOD, then distort it, with full understanding thereof, and deliberately? |[Sura 2:75]
And when they meet the believers, they say, "We believe," but when they get together with each other, they say, "Do not inform (the believers) of the information given  to you by GOD, lest you provide them with support for their  argument concerning your Lord. Do you not understand?"|[Sura 2:76]
Do they not know that GOD knows everything they conceal, and everything they declare? |[Sura 2:77]
Among them are gentiles who do not know the scripture, except through hearsay, then assume that they know it. |[Sura 2:78]
Therefore, woe to those who distort the scripture with their own hands, then say, "This is what GOD has revealed," seeking a cheap material gain. Woe to them for such distortion, and woe to them for their illicit gains. |[Sura 2:79]
Some have said, "Hell will not touch us, except for a limited number of days." Say, "Have you taken such a pledge from GOD- GOD never breaks His pledge- or, are you saying about GOD what you do not know?" |[Sura 2:80]
Indeed, those who earn sins and become surrounded by their evil work will be the dwellers of Hell; they abide in it forever. |[Sura 2:81]
As for those who believe, and lead a righteous life, they will be the dwellers of Paradise; they abide in it forever. |[Sura 2:82]
We made a covenant with the Children of Israel: "You shall not worship except GOD.  You shall honor your parents and regard the relatives, the orphans, and the poor. You shall treat the people amicably. You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat)." But you turned away, except a few of you, and you became averse. |[Sura 2:83]
We made a covenant with you, that you shall not shed your blood, nor shall you evict each other from your homes.  You agreed and bore witness. |[Sura 2:84]
Yet, here you are killing each other, and evicting some of you from their homes, banding against them sinfully and maliciously. Even when they surrendered,you demanded ransom from them. Evicting them was prohibited for you in the first place. Do you believe in part of the scripture and disbelieve in part? What should be the retribution  for those among you who do this, except humiliation in this life, and a far worse retribution on the Day of Resurrection? GOD is never unaware of anything you do. |[Sura 2:85]
It is they who bought this lowly life at the expense of the Hereafter. Consequently, the retribution is never commuted for them, nor can they be helped. |[Sura 2:86]
We gave Moses the scripture, and subsequent to him we sent other messengers, and we gave Jesus, son of Mary, profound miracles and supported him with the Holy Spirit. Is it not a fact that every time a messenger went to you with anything you disliked, your ego caused you to be arrogant? Some of them you rejected,  and some of them you killed. |[Sura 2:87]
Some would say, "Our minds are made up!" Instead, it is a curse from GOD, as a consequence of their disbelief, that keeps them from believing, except for a few of them.|[Sura 2:88]
When this scripture came to them from GOD, and even though it agrees with, and confirms what they have, and even though they used to prophesy its advent when they talked with the disbelievers, when their own prophecy came to pass, they disbelieved therein. GOD's condemnation thus afflicts the disbelievers. |[Sura 2:89]
Miserable indeed is what they sold their souls for- rejecting these revelations of GOD out of sheer resentment that GOD should bestow His grace  upon whomever He chooses from among His servants.  Consequently, they incurred wrath  upon wrath. The disbelievers have incurred a humiliating retribution. |[Sura 2:90]
When they are told, "You shall believe in these revelations of GOD," they say, "We believe only in what was sent down to us." Thus, they disbelieve in subsequent revelations, even if it is the truth from their Lord, and even though it confirms what they have! Say, "Why then did you kill GOD's prophets, if you were believers?" |[Sura 2:91]
Moses went to you with profound miracles, yet you worshiped the calf in his absence, and you turned wicked. |[Sura 2:92]
We made a covenant with you, as we raised Mount Sinai above you, saying, "You shall uphold the com- mandments we have given you, strongly, and listen." They said, "We hear, but we disobey." Their hearts became filled with adoration for the calf, due to their disbelief. Say, "Miserable indeed is what your faith dictates upon you, if you do have any faith."|[Sura 2:93]
Say, "If the abode of the Hereafter is reserved for you at GOD, to the exclusion of all other people, then you should long for death, if you are truthful." |[Sura 2:94]
They never long for it, because of what their hands have sent  forth. GOD is fully aware of the wicked. |[Sura 2:95]
In fact, you will find them the most covetous of life; even more so than the idol worshipers. The one of them wishes to live a thousand years. But this will not spare him any retribution, no matter how long he lives. GOD is seer of everything they do. |[Sura 2:96]
Say, "Anyone who opposes Gabriel should know that he has brought down this (Quran) into your heart, in accordance with GOD's will, confirming previous scriptures,  and providing guidance and good news for the believers." |[Sura 2:97]
Anyone who opposes GOD, and His angels, and His messengers, and Gabriel and Michael, should know that GOD opposes the disbelievers. |[Sura 2:98]
We have sent down to you such clear revelations, and only the wicked will reject them. |[Sura 2:99]
Is it not a fact that when they make a covenant and pledge to keep it, some of them always disregard it? In fact, most of them do not believe. |[Sura 2:100]
Now that a messenger from GOD has come to them, and even though he proves and confirms their own scripture, some followers of the scripture (Jews, Christians, and Muslims) disregard GOD's scripture behind their backs, as if they never had any scripture. |[Sura 2:101]
They pursued what the devils taught concerning Solomon's kingdom. Solomon, however, was not a disbeliever, but the devils were disbelievers. They taught the people sorcery, and that which was sent down through the two angels of Babel, Haroot and Maroot. These two did not divulge such knowledge without pointing out: "This is a test. You shall not abuse such knowledge."  But the people used it in such evil schemes as the breaking up of  marriages. They can never harm anyone against the will of GOD. They thus learn what hurts them, not what benefits them, and they know full well that whoever practices witchcraft will have no share in the Hereafter. Miserable indeed is what they sell their souls for, if they only knew. |[Sura 2:102]
If they believe and lead a righteous life, the reward from GOD is far better, if they only knew. |[Sura 2:103]
O you who believe, do not say, "Raa`ena" (be our shepherd). Instead, you should say, "Unzurna" (watch over us), and listen. The disbelievers have incurred a painful retribution. |[Sura 2:104]
Neither the disbelievers among the followers of the scripture, nor the idol worshipers, wish to see any blessings come down to you from your Lord. However, GOD showers His blessings  upon whomever He chooses. GOD possesses infinite grace. |[Sura 2:105]
When we abrogate any miracle, or cause it to be forgotten, we produce a better miracle, or at least an equal one. Do you not recognize the fact that GOD is Omnipotent? |[Sura 2:106]
Do you not recognize the fact that GOD possesses  the kingship of the heavens and the earth; that  you have none besides GOD as your  Lord and Master? |[Sura 2:107]
Do you wish to demand of your  messenger what was demanded  of Moses in the past? Anyone who chooses disbelief, instead of belief, has truly strayed off the right path. |[Sura 2:108]
Many followers of the scripture would rather see you revert to dis- belief, now that you have believed. This is due to jealousy on their part, after the truth has become evident to them. You shall pardon them, and leave them alone, until GOD issues His judgment. GOD is Omnipotent. |[Sura 2:109]
You shall observe the Contact Prayers (Salat) and give the obligatory charity (Zakat). Any good you send forth on behalf of your souls, you will find it at GOD. GOD is seer of everything you do. |[Sura 2:110]
Some have said, "No one will enter Paradise except Jews or Christians!" Such is their wishful thinking. Say,  "Show us your proof, if you are right." |[Sura 2:111]
Indeed, those who submit themselves absolutely to GOD  alone, while leading a righteous life, will receive  their recompense from their Lord; they have nothing to fear, nor will they grieve. |[Sura 2:112]
The Jews said, "The Christians have no basis,  "while the Christians said, "The Jews have no basis. " Yet, both of them read the scripture. Such are the utterances of those who possess no knowledge. GOD will judge them on the Day of Resurrection, regarding  their disputes. |[Sura 2:113]
Who are more evil than those who boycott GOD's masjids, where His name is commemorated, and contribute to their desertion? These ought not to enter therein except fearfully. They will suffer in this life humiliation, and will suffer in the Hereafter a terrible retribution. |[Sura 2:114]
To GOD belongs the east and the west; wherever you go there will be the presence of GOD. GOD is Omnipresent, Omniscient. |[Sura 2:115]
They said, "GOD has begotten a son!" Be He glorified; never! To Him belongs everything in the heavens and the earth; all are subservient to Him. |[Sura 2:116]
The Initiator of the heavens and the earth: to have anything done, He simply says to it, "Be," and it is. |[Sura 2:117]
Those who possess no knowledge say, "If only GOD could speak to us, or some miracle could come to us!" Others before them have uttered similar utterances; their minds are similar. We do manifest the miracles for those who have attained certainty. |[Sura 2:118]
We have sent you with the truth as a bearer of good news, as well as a warner. You are not answerable for those who incur Hell. |[Sura 2:119]
Neither the Jews, nor the Christians, will accept you, unless  you follow their religion. Say, "GOD's guidance is the true  guidance." If you acquiesce to their wishes, despite the knowledge you have received, you will find no ally or supporter to help you against GOD. |[Sura 2:120]
Those who received the scripture, and know it as it should be  known, will believe in this. As for those who disbelieve, they are the losers. |[Sura 2:121]
O Children of Israel, remember My favor which I bestowed upon  you, and that I blessed you more than any other people. |[Sura 2:122]
Beware of the day when no soul will help another soul, no ransom will be accepted, no intercession will be useful, and no one will be helped. |[Sura 2:123]
Recall that Abraham was put to the test by his Lord, through certain commands, and he fulfilled them. (God) said, "I am appointing you an imam for the people." He said, "And also my descendants?" He said, "My covenant does not include the transgressors." |[Sura 2:124]
We have rendered the shrine (the Ka`aba) a focal point for the people, and a safe sanctuary. You may use Abraham's shrine as a prayer house. We commissioned Abraham and Ismail: "You shall purify My house for those who visit,  those who live there, and those who bow and prostrate." |[Sura 2:125]
Abraham prayed: "My Lord, make this a peaceful land, and provide its people with fruits. Provide for those who believe in GOD and the Last Day." (God) said, "I will also provide for those who disbelieve. I will let them enjoy, temporarily, then commit them to the retribution of Hell, and a miserable destiny."|[Sura 2:126]
As Abraham raised the foundations of the shrine, together with  Ismail (they prayed): "Our Lord, accept this from us. You are the Hearer, the Omniscient.  |[Sura 2:127]
"Our Lord, make us submitters to You, and from our descendants let there be a community of submitters to You. Teach us the rites of our religion, and redeem us. You are the Redeemer, Most Merciful. |[Sura 2:128]
"Our Lord, and raise among them a messenger to recite to them Your revelations, teach them the scripture and wisdom, and purify them. You are the Almighty, Most Wise." |[Sura 2:129]
Who would forsake the religion of Abraham, except one who fools his own soul? We have chosen him in this world, and in the Hereafter he will be with the righteous. |[Sura 2:130]
When his Lord said to him, "Submit," he said, "I submit to the Lord of the universe." |[Sura 2:131]
Moreover, Abraham exhorted his children to do the same, and so did Jacob: "O my children, GOD has pointed out the religion for you; do not die except as submitters." |[Sura 2:132]
Had you witnessed Jacob on his death bed; he said to his children, "What will you worship after I die?"  They said, "We will worship your god; the god of your fathers Abraham, Ismail, and Isaac; the one god. To Him we are submitters." |[Sura 2:133]
Such is a community from the past. They are responsible for what they earned, and you are responsible for what you earned. You are not answerable for anything they have done.|[Sura 2:134]
They said, "You have to be Jewish or Christian, to be guided." Say, "We follow the religion of Abraham-monotheism- he never was an idol worshiper." |[Sura 2:135]
Say, "We believe in GOD, and in what was sent  down to us, and in what was sent down to Abraham, Ismail, Isaac, Jacob, and the Patriarchs;  and in what was given to Moses and Jesus, and all the prophets  from their Lord. We make no distinction among any of them. To Him alone we are submitters." |[Sura 2:136]
If they believe as you do, then they are guided. But if they turn away, then they are in opposition. GOD  will spare you their opposition; He is the Hearer, the Omniscient. |[Sura 2:137]
Such is GOD's system, and whose system is better than GOD's? "Him alone we worship." |[Sura 2:138]
Say, "Do you argue with us about GOD, when He is our Lord and your Lord? We are respon- sible for our deeds, and you are responsible for your deeds. To Him alone we are devoted." |[Sura 2:139]
Do you say that Abraham, Ismail, Isaac, Jacob, and the Patriarchs were Jewish or Christian? Say, "Do you know better than GOD? Who is more evil than one who conceals a testimony he has learned from GOD? GOD is never unaware of anything you do." |[Sura 2:140]
That was a community from the past. They are responsible for  what thay earned, and you are responsible for what you earned. You are not answerable for anything they did. |[Sura 2:141]
The fools among the people would say, "Why did they change the direction of their Qiblah?" Say, "To GOD belongs the east and the west; He guides whoever wills in a straight path." |[Sura 2:142]
We thus made you an impartial community, that you may serve as witnesses among the people, and the messenger serves as a witness among you. We changed the direction of your original Qiblah only to distinguish those among you who readily follow the messenger from those who would turn back on their heels. It was a difficult test, but not for those who are guided by GOD. GOD never puts your worship to waste. GOD is Compassionate towards the people, Most Merciful. |[Sura 2:143]
We have seen you turning your face about the sky (searching for the right direction). We now assign a Qiblah that is pleasing to you. Henceforth, you shall turn your face towards the Sacred Masjid. Wherever you may be, all of you shall turn your faces towards it. Those who received the previous scripture know that this is the truth from their Lord. GOD is never un- aware of anything they do. |[Sura 2:144]
Even if you show the followers of the scripture every kind of miracle, they will not follow your Qiblah. Nor shall you follow their  Qiblah. They do not even follow each others' Qiblah. If you acquiesce to their wishes, after the knowledge that has come  to you, you will belong with the transgressors. |[Sura 2:145]
Those who received the scripture recognize the truth herein, as they recognize their own children. Yet, some of them conceal the truth, knowingly. |[Sura 2:146]
This is the truth from your Lord; do not harbor any doubt. |[Sura 2:147]
Each of you chooses the direction to follow; you shall race towards righteousness. Wherever you may be, GOD will summon you all. GOD is Omnipotent. |[Sura 2:148]
Wherever you go, you shall turn your face (during Salat) towards the Sacred Masjid. This is the truth from your Lord. GOD is never unaware of anything you all do. |[Sura 2:149]
Wherever you go, you shall turn your face (during Salat) towards the Sacred Masjid; wherever you  might be, you shall turn your faces (during Salat) towards it. Thus, the people will have no argument against you, except the transgres- sors among them. Do not fear them, and fear Me instead. I will then perfect My blessings upon you, that you may be guided. |[Sura 2:150]
(Blessings) such as the sending of a messenger from among you  to recite our revelations to you,  purify you, teach you the scripture  and wisdom, and to teach you what you never knew. |[Sura 2:151]
You shall remember Me, that I may remember you, and be thankful to Me; do not be unappreciative. |[Sura 2:152]
O you who believe, seek help through steadfastness and the Contact Prayers (Salat). GOD is with those who steadfastly persevere. |[Sura 2:153]
Do not say of those who are killed in the cause of GOD,  "They are dead." They are alive at their Lord,  but you do not perceive. |[Sura 2:154]
We will surely test you through some fear, hunger, and loss of  money, lives, and crops. Give good news to the steadfast. |[Sura 2:155]
When an affliction befalls them, they say, "We belong to  GOD, and to Him we are returning." |[Sura 2:156]
These have deserved blessings from their Lord and mercy. These are the guided ones. |[Sura 2:157]
The knolls of Safa and Marwah are among the rites decreed by GOD. Anyone who observes Hajj or `Umrah commits no error by travers- ing the distance between them. If one volunteers more righteous works, then GOD is Appreciative, Omniscient. |[Sura 2:158]
Those who conceal our revelations and guidance, after proclaiming them for the people in the scripture, are condemned by GOD; they are condemned by all the condemners. |[Sura 2:159]
As for those who repent, reform, and proclaim, I redeem them. I am the Redeemer, Most Merciful. |[Sura 2:160]
Those who disbelieve and die as disbelievers, have incurred the condemnation of GOD, the angels, and all the people (on the Day of Judgment). |[Sura 2:161]
Eternally they abide therein.  The retribution is never commuted  for them, nor are they reprieved. |[Sura 2:162]
Your god is one god; there is no god but He, Most Gracious, Most Merciful. |[Sura 2:163]
In the creation of the heavens and the earth, the alternation of night and day, the ships that roam the ocean for the benefit of the people, the water that GOD sends down from the sky to revive dead land and to spread in it all kinds of creatures, the manipulation of the winds, and the clouds that are placed between the sky and the earth, there are sufficient proofs for people who understand. |[Sura 2:164]
Yet, some people set up idols to rival GOD, and love them as if they are GOD. Those who believe love GOD the most. If only the transgressors could see themselves when they see the retribution! They will realize then that all power belongs to GOD alone, and that GOD's retribution is awesome. |[Sura 2:165]
Those who were followed will disown those who followed them. They will see the retribution, and all ties among them will be severed. |[Sura 2:166]
Those who followed will say, "If we can get another chance, we will disown them, as they have disowned us now." GOD thus shows them the consequences of their works as nothing but remorse; they will never exit Hell. |[Sura 2:167]
O people, eat from the earth's products all that is lawful and  good, and do not follow the steps of Satan; he is your most ardent enemy. |[Sura 2:168]
He only commands you to commit evil and vice, and to say about GOD what you do not know. |[Sura 2:169]
When they are told, "Follow what GOD has revealed  herein," they say, "We follow only what we found our parents doing." What if their parents did not understand, and were not guided? |[Sura 2:170]
The example of such disbelievers is that of parrots who repeat  what they hear of sounds and calls, without understanding. Deaf, dumb, and blind; they cannot understand. |[Sura 2:171]
O you who believe, eat from the good things we provided for you, and be thankful to GOD, if you do worship Him alone. |[Sura 2:172]
He only prohibits for you the eating of animals that die of them- selves (without human interference), blood, the meat of pigs, and animals dedicated to other than GOD. If one is forced (to eat these), without being malicious or  deliberate, he incurs no sin. GOD is Forgiver, Most Merciful. |[Sura 2:173]
Those who conceal GOD's revela- tions in the scripture, in exchange for a cheap material gain, eat but fire into their bellies. GOD will not speak to them on the Day of Resurrection, nor will He purify them. They have incurred a painful retribution. |[Sura 2:174]
It is they who chose the straying  instead of guidance, and the retribution instead of forgiveness. Consequently,  they will have to endure Hell. |[Sura 2:175]
This is because GOD has revealed this scripture,  bearing the truth, and those who dispute the scripture  are the most ardent opponents. |[Sura 2:176]
Righteousness is not turning your faces towards the east or the  west. Righteous are those who believe in GOD, the Last Day, the angels, the scripture, and the prophets; and they give the money, cheerfully, to the relatives, the orphans, the needy, the traveling alien, the beggars, and to free the slaves; and they observe the Contact Prayers (Salat) and give the obligatory charity (Zakat); and they keep their word whenever they make a promise; and they steadfastly per- severe in the face of persecution, hardship, and war. These are the truthful; these are the righteous. |[Sura 2:177]
O you who believe, equivalence is the law decreed for you when dealing with murder-the free for the free, the slave for the slave, the female for the female. If one is pardoned by the victim's kin, an appreciative response is in order, and an equitable compensation shall be paid. This is an alleviation from your Lord and mercy. Anyone who transgresses beyond this incurs a painful retribution. |[Sura 2:178]
Equivalence is a life saving law for you, O you who possess intelligence, that you may be righteous. |[Sura 2:179]
It is decreed that when death approaches,  you shall write a will for the benefit of the parents and relatives, equitably.  This is a duty upon the righteous. |[Sura 2:180]
If anyone alters a will he had heard,  the sin of altering befalls those responsible for such altering. GOD is Hearer, Knower. |[Sura 2:181]
If one sees gross injustice or bias on the part of a testator, and takes corrective action to restore justice to the will, he commits no sin. GOD is Forgiver, Most Merciful. |[Sura 2:182]
O you who believe, fasting is decreed for you, as it was decreed for those before you, that you may attain salvation. |[Sura 2:183]
Specific days (are designated for fasting); if one is ill or travel- ing, an equal number of other days may be substituted. Those who can fast, but with great difficulty,  may substitute feeding one poor person for each day of breaking the fast. If one volunteers (more righteous works), it is better. But fasting is the best for you, if you only knew. |[Sura 2:184]
Ramadan is the month during  which the Quran was revealed, providing guidance for the people, clear teachings, and the statute book. Those of you who witness this month shall fast therein. Those who are ill or traveling may substitute the same number of other days. GOD wishes for you convenience, not hardship, that you may fulfill your obligations, and to glorify GOD for guiding you, and to express your appreciation. |[Sura 2:185]
When My servants ask you about Me, I am always near. I answer their prayers when they pray to Me. The people shall respond to Me and believe in Me, in order to be guided. |[Sura 2:186]
Permitted for you is sexual intercourse with your wives during the nights of fasting. They are the keepers of your secrets, and you are the keepers of their secrets. GOD knew that you used to betray your souls, and He has redeemed you, and has pardoned you. Henceforth, you may have intercourse with them, seeking what GOD has permitted for you. You may eat and drink until the white thread of light becomes distinguishable from the dark thread of night at dawn. Then, you shall fast until sunset. Sexual intercourse is prohibited if you decide to retreat to the masjid (during the last ten days of Ramadan). These are GOD's laws; you shall not transgress them. GOD thus clarifies His revelations for the people, that they may attain salvation. |[Sura 2:187]
You shall not take each others' money illicitly, nor shall you bribe the officials to deprive others of some of their rights illicitly, while you know. |[Sura 2:188]
They ask you about the phases of the moon! Say, "They provide a timing device for the people, and determine the time of Hajj." It is not righteous to beat around the bush; righteousness is attained by upholding the commandments and by being straightforward. You shall observe GOD, that you may succeed. Rules of War |[Sura 2:189]
